"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
8.291311523E1,6.501092622E1,2.546529148E1,2.125107269E1,1.120000005E0,2.893999939E2,7.268905640E0,1.024006462E1
8.391262445E1,6.501093429E1,2.546526916E1,2.085281365E1,1.169999957E0,2.947999878E2,7.060811043E0,9.980550766E0
8.490996174E1,6.501094342E1,2.546524195E1,2.173031071E1,1.190000057E0,2.977999878E2,6.607153893E0,9.355871201E0
8.591390835E1,6.501095178E1,2.546521167E1,2.136232444E1,1.179999948E0,2.897999878E2,5.984885693E0,8.391003609E0
8.691464340E1,6.501096276E1,2.546518256E1,2.210645884E1,1.200000048E0,2.978999939E2,5.261315823E0,7.622632504E0
8.791431929E1,6.501097436E1,2.546515728E1,2.262354248E1,1.179999948E0,2.968999939E2,4.978466511E0,7.207308769E0
8.891520768E1,6.501098347E1,2.546513019E1,2.328723339E1,1.179999948E0,2.906000061E2,4.744567871E0,7.174245834E0
8.991370481E1,6.501099332E1,2.546510475E1,2.366405890E1,1.259999990E0,3.003999939E2,4.532122135E0,6.893097401E0
9.091427726E1,6.501100346E1,2.546507938E1,2.399345999E1,1.230000019E0,2.947000122E2,4.501315594E0,6.821185112E0
9.191413444E1,6.501101419E1,2.546505334E1,2.438139352E1,1.259999990E0,3.017000122E2,4.425796509E0,6.748341560E0
9.291495366E1,6.501102349E1,2.546502527E1,2.489383917E1,1.259999990E0,2.916000061E2,4.540843964E0,6.740849495E0
9.391136309E1,6.501103534E1,2.546499396E1,2.571414495E1,1.360000014E0,3.037999878E2,4.389396667E0,6.572444916E0
9.491294012E1,6.501104564E1,2.546496052E1,2.635921925E1,1.379999995E0,3.028999939E2,4.402782917E0,6.515964031E0
9.590960210E1,6.501105445E1,2.546492383E1,2.692616888E1,1.409999967E0,2.966000061E2,4.357060909E0,6.377519608E0
9.691428559E1,6.501105964E1,2.546488916E1,2.737062249E1,1.340000033E0,2.931000061E2,4.432690144E0,6.165931702E0
9.791394199E1,6.501106538E1,2.546485300E1,2.612464610E1,1.429999948E0,3.027999878E2,4.215554237E0,5.886233807E0
9.891277897E1,6.501107328E1,2.546482039E1,2.549854217E1,1.360000014E0,3.057000122E2,4.210674286E0,5.846957684E0
9.991365574E1,6.501108186E1,2.546479178E1,2.545843679E1,1.370000005E0,3.010000000E2,4.377282143E0,6.045454025E0
1.009084695E2,6.501109137E1,2.546476503E1,2.515105823E1,1.370000005E0,2.982000122E2,4.430948257E0,6.219695568E0
1.019141461E2,6.501110225E1,2.546474305E1,2.392857938E1,1.419999957E0,3.007999878E2,4.170412540E0,5.920154095E0
1.029135498E2,6.501111562E1,2.546472321E1,2.339024279E1,1.399999976E0,3.042999878E2,4.113705158E0,5.760231972E0
1.039145411E2,6.501112902E1,2.546470205E1,2.269931821E1,1.419999957E0,3.082000122E2,4.061590672E0,5.546022415E0
1.049138563E2,6.501114099E1,2.546467703E1,2.185470738E1,1.409999967E0,3.050000000E2,4.172055721E0,5.463340759E0
1.059095217E2,6.501115508E1,2.546465269E1,2.089046688E1,1.429999948E0,3.107999878E2,4.263524532E0,5.609668732E0
1.069115435E2,6.501116837E1,2.546463443E1,1.971522857E1,1.419999957E0,3.115000000E2,4.352674007E0,5.845166683E0
1.079131313E2,6.501118025E1,2.546461670E1,1.943501037E1,1.409999967E0,3.086000061E2,4.280559063E0,5.887179375E0
1.089105344E2,6.501119058E1,2.546459510E1,1.919153566E1,1.509999990E0,3.003999939E2,4.130582333E0,5.583472252E0
1.099155514E2,6.501120104E1,2.546457854E1,1.732782200E1,1.440000057E0,3.025000000E2,4.079198837E0,5.371785164E0
1.109143438E2,6.501121122E1,2.546455659E1,1.675555093E1,1.460000038E0,2.986000061E2,4.034641743E0,5.239385605E0
1.119143137E2,6.501122288E1,2.546453083E1,1.649730492E1,1.450000048E0,3.018999939E2,4.225141525E0,5.386598587E0
